"sku","tip_velikosti"
"33604000399","all"
"33604000299","all"
"33604067099","all"
"33604037099","all"
"33605005299","all"
"33605055099","all"
"33605067099","all"
"33605007699","all"
"33605037099","all"
"336050w3999","all"
"33605000399","all"
"33605000299","all"
"33607000499","all"
"33607000399","all"
"33607000299","all"
"33607067099","all"
"33607000199","all"
"33603005099","all"
"33603007699","all"
"336030p6299","all"
"33603000499","all"
"33603000399","all"
"33603000299","all"
"33603000199","all"
"33608000399","all"
"33608000299","all"
"33608067099","all"
"33608000199","all"
"33609088399","all"
"33609094199","all"
"33609063499","all"
"33609085799","all"
"33609080899","all"
"33609026199","all"
"33609090299","all"
"33702023599","all"
"337040y2699","all"
"33704007199","all"
"337040y2599","all"
"33704007799","all"
"33705007499","all"
"33705000399","all"
"33705000299","all"
"33705020099","all"
"33705037099","all"
"33705007799","all"
"33703054099","all"
"33703005099","all"
"33703008599","all"
"33703067099","all"
"33703000399","all"
"33703000299","all"
"337020o1399","all"
"33702007499","all"
"337020v7899","all"
"33702007799","all"
"33702020099","all"
"33702037099","all"
"337020w3999","all"
"33702055099","all"
"33702000399","all"
"33702000299","all"
"33505054099","all"
"33505067099","all"
"33013326199","all"
"33013380899","all"
"33018105099","all"
"33018103999","all"
"33302054099","all"
"33018054099","all"
"33018005099","all"
"330504g5199","all"
"33050495799","all"
"33050489699","all"
"33003567099","all"
"33208007799","all"
"33006405099","all"
"33006407699","all"
"33006437099","all"
"330005g5199","all"
"33000534399","all"
"33000589699","all"
"338020z7399","all"
"33400059099","all"
"33204054099","all"
"33204005099","all"
"33204067099","all"
"33204007699","all"
"33204037099","all"
"334000o5399","all"
"334000o0299","all"
"33207078099","all"
"332070y0299","all"
"332070y0199","all"
"33403000499","all"
"33803055599","all"
"33803067099","all"
"33803007699","all"
"338030w3999","all"
"33000709299","all"
"33000744099","all"
"33000758099","all"
"330007v7899","all"
"330007w3999","all"
"33017347099","all"
"33017380099","all"
"33409000499","all"
"33409008599","all"
"338020g5199","all"
"338020p3499","all"
"33802066899","all"
"338020z7699","all"
"338020z7599","all"
"33802026199","all"
"338020z7499","all"
"33013555599","all"
"33013371299","all"
"33013336199","all"
"33013388399","all"
"33013385199","all"
"33013382699","all"
"33706009299","all"
"33706003399","all"
"33706005099","all"
"33706004099","all"
"33706004899","all"
"33706000499","all"
"33706055099","all"
"33706000399","all"
"33706000299","all"
"33706055599","all"
"33706067099","all"
"33706003999","all"
"33706037099","all"
"33706000199","all"
"337070o5399","all"
"33707016999","all"
"33707007799","all"
"337070o0299","all"
"335050a3299","all"
"33505000399","all"
"33505000299","all"
"33505008599","all"
"33505037099","all"
"33017966899","all"
"335050v7899","all"
"337070y7599","all"
"33017926199","all"
"33017985199","all"
"33017987699","all"
"33019600399","all"
"33019600299","all"
"33019607699","all"
"33019637099","all"
"33019500499","all"
"33019500399","all"
"33019514599","all"
"33019555599","all"
"33019567099","all"
"33014955099","all"
"33014900399","all"
"33014900299","all"
"33014967099","all"
"33014980099","all"
"33014937099","all"
"33014705099","all"
"33014700399","all"
"33014700299","all"
"33014708599","all"
"33014707699","all"
"33507055099","all"
"33507000399","all"
"33507000299","all"
"33507008599","all"
"33507055599","all"
"33014195799","all"
"33014188899","all"
"33014194199","all"
"33014196399","all"
"33014198099","all"
"33014131899","all"
"33013554099","all"
"33013505099","all"
"33013500499","all"
"33013500399","all"
"33013500299","all"
"33013507199","all"
"33013507799","all"
"33013507699","all"
"33019612599","all"
"33019503999","all"
"33014900199","all"
"33014737099","all"
"33507037099","all"
"33014192099","all"
"33013500199","all"
"33506005099","all"
"33506000499","all"
"33506000399","all"
"33506000299","all"
"33506007199","all"
"33021500334","all"
"33021500312","all"
"33021500234","all"
"33021500212","all"
"33021507634","all"
"33021507612","all"
"33602000334","all"
"33602000312","all"
"33602000234","all"
"33602000212","all"
"33602067034","all"
"33602067012","all"
"33602007634","all"
"33602007612","all"
"33602037034","all"
"33602037012","all"
"33601080899","all"
"33601090199","all"
"336010p9699","all"
"33601090399","all"
"33601090899","all"
"33601091099","all"
"330007t0999","all"
"330007t2299","all"
"330190ze999","all"
"33019043299","all"
"33019066899","all"
"33500067099","all"
"33016305099","all"
"33407010099","all"
"330190u2799","all"
"33014200399","all"
"33014200299","all"
"33014267099","all"
"33014200199","all"
"33020600399","all"
"33020600299","all"
"33020667099","all"
"33020600199","all"
"33018254099","all"
"33018205099","all"
"33803003399","all"
"33803005099","all"
"33803000499","all"
"33803020099","all"
"33018980034","all"
"33018980012","all"
"33403004899","all"
"334030e7799","all"
"334030e7699","all"
"334030t1099","all"
"33403080099","all"
"33502005099","all"
"33502067099","all"
"33502003999","all"
"33502000399","all"
"33502037099","all"
"33013780899","all"
"33013731399","all"
"335000m1799","all"
"33500055099","all"
"33500012599","all"
"33500004899","all"
"33500000399","all"
"33500000299","all"
"33500003999","all"
"33408037099","all"
"33408004899","all"
